image_id,predicted_x,predicted_y,ground_truth_x,ground_truth_y,distance
13,1810.5,1745.0,2572.737996909418,286.93230982869864,1645.2866476860365
14,2236.5,1520.0,2584.838215888012,569.5757778733969,1012.2478523825092
15,2449.5,1360.0,2596.241077641025,852.7525582490489,528.046315232039
16,2953.75,960.0,2606.5499865059974,1134.3672486860305,388.5251430532799
17,2023.5,1665.0,2616.776583014871,1416.0004063649103,643.4111450575292
18,2236.5,1680.0,2628.0096664390294,1698.6168467858806,391.95204540791593
19,1704.0,1520.0,2310.17089099274,1888.8849163008852,709.590889570352
20,1597.5,1680.0,2300.893727872753,1596.09167910181,708.3807893546254
21,1810.5,1600.0,2289.1510190459667,1314.7529833437875,557.2007345158582
22,1704.0,1440.0,2278.064229133306,1032.9648010618985,703.7239461216286
